REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;546;MERCADINHO SALES;A vista  + 10 dias;-;1; R$ 260,74 ; R$ 260,74 ;24,72%; R$ 963,31 ;MÁXIMO (ACIMA DE R$ 200; R$ 70,28 ;-2.8979868;-40.1192039
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;372 - L81 - AS - COMETA 2;548;COMETA (MATOS DOURADO);Transferencia 50 dias;-;2; R$ 9.015,35 ; R$ 4.507,68 ;15,47%; R$ 23.946,95 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.819,07 ;-3.7498338;-38.5846885
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;570;MERCADINH O LOURO;A vista  + 10 dias;-;2; R$ 762,93 ; R$ 381,47 ;43,61%; R$ 5.137,92 ;MÁXIMO (ACIMA DE R$ 200; R$ 339,86 ;-3.8128734;-39.26181
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;185 - L82-AMONTADA-SEDE;572;MERCADINHO TRES IRMAOS;A vista  + 10 dias;-;2; R$ 214,60 ; R$ 107,30 ;49,34%; R$ 1.433,84 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ 115,46 ;-3.3683088;-39.8331828
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;135 - L82-TURURU-SEDE;591;MECARDINHO SAO FRANCISCO;A vista  + 10 dias;-;2; R$ 219,48 ; R$ 109,74 ;35,90%; R$ 1.177,00 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ 74,93 ;-3.5922282;-39.4420594
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;595;MERCADINHO JALS;21 dias Boleto;-;2; R$ 1.707,43 ; R$ 853,72 ;30,78%; R$ 10.250,35 ;MÁXIMO (ACIMA DE R$ 200; R$ 656,59 ;-3.7691711;-38.6569162
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOSE IGOR SOUSA LIMA;287 - L82-MUCAMBO-SEDE ;600;PANIFICADO AGUIR MELO;A vista  + 10 dias;-;1; R$ 531,09 ; R$ 531,09 ;38,85%; R$ 3.066,98 ;MÁXIMO (ACIMA DE R$ 200; R$ 163,71 ;-3.9039222;-40.7443889
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;130 - L82-URUBURETAMA-SEDE;604;MERCADINHO CABELUDO;A vista  + 10 dias;-;1; R$ 232,75 ; R$ 232,75 ;43,68%; R$ 2.315,95 ;MÁXIMO (ACIMA DE R$ 200; R$ 115,17 ;-3.6135201;-39.5022871
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;611;SUPER PORTUGAL - MARAPONGA;30 dias Boleto;-;2; R$ 1.489,56 ; R$ 744,78 ;17,89%; R$ 4.242,84 ;MÁXIMO (ACIMA DE R$ 200; R$ 400,14 ;-3.7842908;-38.5691114
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;620;SUPER PORTUGAL - VILA PERI;30 dias Boleto;-;2; R$ 2.014,74 ; R$ 1.007,37 ;19,98%; R$ 7.070,12 ;MÁXIMO (ACIMA DE R$ 200; R$ 529,62 ;-3.7802372;-38.5784333
