REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1166;MERCADINHO FRANCISCA;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;27,84%; R$ 985,94 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.1831997;-39.3765242
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;240 - L82-CRUZ-PREA;1171;SUPER BIG PREA;14 dias Boleto;-;1; R$ 604,79 ; R$ 604,79 ;35,40%; R$ 4.317,43 ;MÁXIMO (ACIMA DE R$ 200; R$ 229,33 ;-2.8193698;-40.4142838
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;220 - L82-MARCO-SEDE ;1179;PONTO DA ECONOMIA;7 dias Boleto;-;1; R$ 387,10 ; R$ 387,10 ;35,15%; R$ 2.107,87 ;MÁXIMO (ACIMA DE R$ 200; R$ 202,42 ;-3.1179662;-40.1473733
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1182;COMERCIAL DO MANIN;A vista  + 10 dias;-;2; R$ 496,39 ; R$ 248,20 ;17,89%; R$ 1.484,24 ;MÁXIMO (ACIMA DE R$ 200; R$ 123,91 ;-3.1808859;-39.3734641
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;145 - L82-PARAIPABA(SEDE)+DISTRITOS ;1193;COMERCIAL ADEMAR;14 dias Boleto;-;1; R$ 640,15 ; R$ 640,15 ;24,68%; R$ 5.563,69 ;MÁXIMO (ACIMA DE R$ 200; R$ 216,49 ;-3.4400093;-39.1486676
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1203;MERCADINHO ICARO;A vista  + 10 dias;-;1; R$ 128,55 ; R$ 128,55 ;33,89%; R$ 859,91 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ 44,55 ;-3.1808859;-39.3734641
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1213;MERCADINHO FILE;A vista  + 10 dias;-;1; R$ 138,47 ; R$ 138,47 ;42,51%; R$ 990,15 ;MÍNIMO (R$ 130 À R$ 150); R$ 71,27 ;-3.5140772;-39.5600062
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;200 - L82-ITAREMA-SEDE ;1220;MERCADINHO O LUCIANO;A vista  + 10 dias;-;4; R$ 1.270,85 ; R$ 317,71 ;44,84%; R$ 15.987,29 ;MÁXIMO (ACIMA DE R$ 200; R$ 606,03 ;-2.924812;-39.9129203
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;140 - L81 - AUTO SERVICO 5;1222;H2R SUPERMERCDO;21 dias Boleto;NEGOCIAÇÃO;1; R$ 371,83 ; R$ 371,83 ;47,94%; R$ 187,63 ;MÁXIMO (ACIMA DE R$ 200; R$ 191,20 ;-3.916633;-38.595798
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;131 - L81 - PEQUENO VAREJO 4;1226;MERCANTIL NOVO BOX LTDA;21 dias Boleto;-;3; R$ 1.956,62 ; R$ 652,21 ;26,72%; R$ 5.783,55 ;MÁXIMO (ACIMA DE R$ 200; R$ 717,05 ;-3.7123457;-38.5589927
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1230;VITORIA REAL;30 dias Boleto;-;1; R$ 2.359,30 ; R$ 2.359,30 ;24,53%; R$ 17.254,10 ;MÁXIMO (ACIMA DE R$ 200; R$ 911,11 ;-3.7716837;-38.6552574
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1235;MERCADINHO ADAUTO;A vista  + 10 dias;-;1; R$ 228,10 ; R$ 228,10 ;12,00%; R$ 589,56 ;MÁXIMO (ACIMA DE R$ 200; R$ 46,58 ;-3.1826378;-39.3737853
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1241;MECADINHO SOL NACENTE;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;42,01%; R$ 1.030,95 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.4902054;-39.5757507
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1247;MERCADINHO VALERIANO;A vista  + 10 dias;-;2; R$ 315,73 ; R$ 157,87 ;48,52%; R$ 2.351,50 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 160,07 ;-3.4944927;-39.5938588
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1250;SACOLAO DAS FRUTAS - ITAPIPOCA;A vista  + 10 dias;-;1; R$ 156,03 ; R$ 156,03 ;48,16%; R$ 1.064,45 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 82,70 ;-3.495193;-39.5991148
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;204 - L82-ACARAU LITORAL ;1265;MERCADINHO DEHOM;A vista  + 10 dias;-;2; R$ 435,48 ; R$ 217,74 ;36,63%; R$ 2.662,26 ;MÁXIMO (ACIMA DE R$ 200; R$ 146,45 ;-2.8979192;-40.1192177
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1274;MERCADINHO PICOS;7 dias Boleto;-;1; R$ 241,47 ; R$ 241,47 ;21,87%; R$ 896,54 ;MÁXIMO (ACIMA DE R$ 200; R$ 62,79 ;-3.5140986;-39.5599289
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;1284;MERCADINHO WESLEY;A vista  + 10 dias;-;1; R$ 206,18 ; R$ 206,18 ;36,69%; R$ 1.587,18 ;MÁXIMO (ACIMA DE R$ 200; R$ 76,48 ;-3.2781568;-39.2684582
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;131 - L81 - PEQUENO VAREJO 4;1285;PADARIA KIPAO;A vista;-;1; R$ 208,90 ; R$ 208,90 ;45,40%; R$ 998,30 ;MÁXIMO (ACIMA DE R$ 200; R$ 101,46 ;-3.7144614;-38.6021725
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1298;MERCADINHO MARCELIA;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;41,68%; R$ 569,85 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.5090356;-39.5840994
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;1305;MERCADINHO BOM JESUS;A vista  + 10 dias;-;2; R$ 773,18 ; R$ 386,59 ;19,19%; R$ 2.735,86 ;MÁXIMO (ACIMA DE R$ 200; R$ 243,16 ;-3.2768395;-39.2680668
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1315;MERCAD EDIVALDO PACHECO;A vista  + 10 dias;-;1; R$ 188,53 ; R$ 188,53 ;36,85%; R$ 1.789,53 ;REGULAR (R$ 180 À R$ 200); R$ 86,74 ;-3.509806;-39.583148
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1316;MERCADINHO TIMORE;A vista  + 10 dias;-;2; R$ 419,28 ; R$ 209,64 ;16,00%; R$ 968,22 ;MÁXIMO (ACIMA DE R$ 200; R$ 100,47 ;-3.1808859;-39.3734641
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;1326;COMERCIAL CHICO PINHO;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;12,40%; R$ 1.238,45 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.2848244;-39.2650365
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;185 - L82-AMONTADA-SEDE;1359;SACOLAO DAS FRUTAS - AMONTADA;A vista  + 10 dias;-;2; R$ 376,43 ; R$ 188,22 ;45,09%; R$ 3.091,35 ;REGULAR (R$ 180 À R$ 200); R$ 187,07 ;-3.3605729;-39.8330925
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;1369;MERCADINHO ANA LUIZA;A vista  + 10 dias;-;1; R$ 291,30 ; R$ 291,30 ;42,40%; R$ 4.740,76 ;MÁXIMO (ACIMA DE R$ 200; R$ 139,62 ;-3.2839786;-39.263977
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;150 - L82-SGA-SEDE ;1372;MERCD RIBAMAR;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;46,46%; R$ 1.072,73 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.616595;-38.968409
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;185 - L82-AMONTADA-SEDE;1392;COMERCIAL BARROS;14 dias Boleto;-;2; R$ 750,84 ; R$ 375,42 ;37,10%; R$ 3.370,21 ;MÁXIMO (ACIMA DE R$ 200; R$ 267,67 ;-3.359671;-39.8337477
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;211 - L82-CRUZ-AUTO SERVICO ;1394;MK MERCANTIL - CRUZ;14 dias Boleto;-;2; R$ 3.288,06 ; R$ 1.644,03 ;21,36%; R$ 19.687,69 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.124,14 ;-2.9164299;-40.1737092
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;1405;MERCADINHO SAO FRANCISCO;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;45,43%; R$ 973,75 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.8979106;-40.119242
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;144 - L82-PARACURU(SEDE)+POCO DOCE;1409;LUANDA - AVENIDA;14 dias Boleto;-;2; R$ 4.953,59 ; R$ 2.476,79 ;27,34%; R$ 46.582,79 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.327,94 ;-3.4144878;-39.0326678
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;144 - L82-PARACURU(SEDE)+POCO DOCE;1419;J&L SUPERMERCADOS - PARACURU;21 dias Boleto;-;2; R$ 2.668,29 ; R$ 1.334,14 ;29,09%; R$ 20.575,92 ;MÁXIMO (ACIMA DE R$ 200; R$ 860,92 ;-3.4094051;-39.0243504
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;1420;MECADINHO O ALISON;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;23,68%; R$ 479,46 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.6911142;-39.5865425
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1430;MERCADINHO ZE WILSON;A vista;-;1; R$ 179,27 ; R$ 179,27 ;47,20%; R$ 1.600,48 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 95,69 ;-3.7379616;-38.617816
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;144 - L82-PARACURU(SEDE)+POCO DOCE;1434;LUANDA - PARACURU;14 dias Boleto;-;1; R$ 410,10 ; R$ 410,10 ;36,09%; R$ 9.922,95 ;MÁXIMO (ACIMA DE R$ 200; R$ 306,70 ;-3.4407596;-39.0391688
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1442;PADARIA PAO DE LO;A vista  + 10 dias;-;1; R$ 194,57 ; R$ 194,57 ;35,50%; R$ 1.448,61 ;REGULAR (R$ 180 À R$ 200); R$ 81,60 ;-3.2112655;-39.2677415
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;1450;SUPERMERCADO MAR & SOL;30 dias Boleto;-;2; R$ 1.189,25 ; R$ 594,63 ;3,59%; R$ 3.784,75 ;MÁXIMO (ACIMA DE R$ 200; R$ 451,44 ;-3.67349324;-38.66970537
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1454;MERCANTIL EMANUEL;21 dias Boleto;NEGOCIAÇÃO;2; R$ 538,46 ; R$ 269,23 ;36,64%; R$ 207,66 ;MÁXIMO (ACIMA DE R$ 200; R$ 196,88 ;-3.738189;-38.619378
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1464;STAR PAES;A vista  + 10 dias;-;1; R$ 140,40 ; R$ 140,40 ;27,82%; R$ 838,23 ;MÍNIMO (R$ 130 À R$ 150); R$ 69,16 ;-3.4960521;-39.5826226
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;200 - L82-ITAREMA-SEDE ;1467;PADARIA PAO & CIA;14 dias Boleto;-;2; R$ 640,99 ; R$ 320,49 ;9,48%; R$ 983,27 ;MÁXIMO (ACIMA DE R$ 200; R$ 116,61 ;-2.9206568;-39.9172247
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;354 - L81 - AS - COMETA 1;1482;COMETA (JOSE LEON);Transferencia 50 dias;-;2; R$ 6.694,60 ; R$ 3.347,30 ;12,28%; R$ 12.526,51 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.100,45 ;-3.7882169;-38.50204381
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;200 - L82-ITAREMA-SEDE ;1497;COMERCIAL O BINGA;A vista  + 10 dias;-;2; R$ 424,48 ; R$ 212,24 ;38,01%; R$ 3.451,11 ;MÁXIMO (ACIMA DE R$ 200; R$ 171,88 ;-2.9233624;-39.9128227
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;145 - L82-PARAIPABA(SEDE)+DISTRITOS ;1499;PONTO DO CARTAO;7 dias Boleto;-;2; R$ 317,71 ; R$ 158,85 ;39,27%; R$ 4.289,62 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 141,98 ;-3.4405479;-39.1487699
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;215 - L82-BELA CRUZ-SEDE ;1500;DEDEZINHO HORTFRUT;A vista  + 10 dias;-;1; R$ 926,78 ; R$ 926,78 ;31,00%; R$ 4.824,37 ;MÁXIMO (ACIMA DE R$ 200; R$ 319,49 ;-3.0550978;-40.1671975
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1508;MERCADINHO DUAS IRMAS;7 dias Boleto;-;1; R$ 215,05 ; R$ 215,05 ;45,96%; R$ 2.118,65 ;MÁXIMO (ACIMA DE R$ 200; R$ 104,14 ;-3.7295241;-38.6967758
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;130 - L82-URUBURETAMA-SEDE;1513;MERCADINHO CLEALDO;A vista  + 10 dias;-;1; R$ 144,17 ; R$ 144,17 ;42,11%; R$ 1.516,26 ;MÍNIMO (R$ 130 À R$ 150); R$ 65,84 ;-3.6316729;-39.4989192
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1522;MERCADINHO DA LOURA;A vista;-;1; R$ 156,45 ; R$ 156,45 ;49,48%; R$ 143,12 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 74,18 ;-3.74376207;-38.64179021
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;155 - L82-SGA-PECEM;1529;MERCANTIL VASCONCELOS;21 dias Boleto;-;2; R$ 2.318,47 ; R$ 1.159,23 ;34,81%; R$ 18.757,49 ;MÁXIMO (ACIMA DE R$ 200; R$ 938,52 ;-3.5538062;-38.8318771
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;1531;PANIFICADORA 3 IRMAOS;A vista  + 10 dias;-;1; R$ 155,20 ; R$ 155,20 ;37,57%; R$ 789,46 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 69,62 ;-3.4846501;-39.5806907
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;1532;MERCADINHO MARCELO;A vista  + 10 dias;-;1; R$ 599,73 ; R$ 599,73 ;27,76%; R$ 2.279,14 ;MÁXIMO (ACIMA DE R$ 200; R$ 190,24 ;-3.00995042;-40.12851265
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;211 - L82-CRUZ-AUTO SERVICO ;1537;J M SUPERMERCADO;30 dias Boleto;-;1; R$ 3.151,59 ; R$ 3.151,59 ;29,82%; R$ 14.933,21 ;MÁXIMO (ACIMA DE R$ 200; R$ 904,31 ;-2.9157323;-40.1751696
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1540;MERCADINHO SAO MATEUS;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;33,63%; R$ 2.189,60 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7420079;-38.6410004
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;110 - L81 - AUTO SERVICO 2;1541;SUPER NOVO EXPRESS;21 dias Boleto;NEGOCIAÇÃO;2; R$ 948,50 ; R$ 474,25 ;15,02%; R$ 834,04 ;MÁXIMO (ACIMA DE R$ 200; R$ 316,87 ;-3.87502580;-38.67051130
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1548;LIVIA PAN PANIFICADORA;A vista;-;2; R$ 472,93 ; R$ 236,47 ;43,94%; R$ 2.686,88 ;MÁXIMO (ACIMA DE R$ 200; R$ 221,86 ;-3.7420764;-38.6411245
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;216 - L82-BELA CRUZ-AUTO SERVICO;1551;MERCANTIL PEDRO DUTRA;A vista  + 10 dias;-;1; R$ 381,13 ; R$ 381,13 ;21,95%; R$ 3.579,90 ;MÁXIMO (ACIMA DE R$ 200; R$ 144,04 ;-3.0535818;-40.1665184
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1553;MERCADINHO DA RAIMUNDA;A vista;-;2; R$ 405,20 ; R$ 202,60 ;47,50%; R$ 2.901,95 ;MÁXIMO (ACIMA DE R$ 200; R$ 209,05 ;-3.7418233;-38.6235276
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;1577;MERCADINHO GIFONE;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;4,87%; R$ 299,07 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.9221514;-40.1202213
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;1587;PONTO DAS FRUTAS;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;25,22%; R$ 2.974,37 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.8879852;-40.119545
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;130 - L82-URUBURETAMA-SEDE;1596;MERCANTIL AGUIA DA SERRA;30 dias Boleto;-;2; R$ 3.878,87 ; R$ 1.939,44 ;33,02%; R$ 27.446,74 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.521,15 ;-3.623865;-39.5092686
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;1603;SJ MERCANTIL;7 dias Boleto;-;1; R$ 217,93 ; R$ 217,93 ;25,18%; R$ 1.251,43 ;MÁXIMO (ACIMA DE R$ 200; R$ 67,03 ;-3.12579653;-40.08448464
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;220 - L82-MARCO-SEDE ;1607;MERCADINHO SAO JOSE;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;21,82%; R$ 682,18 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.1202658;-40.1574755
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;215 - L82-BELA CRUZ-SEDE ;1615;MERCANTIL MATEUS;A vista  + 10 dias;-;1; R$ 153,92 ; R$ 153,92 ;14,55%; R$ 454,96 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 26,19 ;-3.053641;-40.1700068
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;121 - L81 - PEQUENO VAREJO 3;1616;MERCADINHO 3 G;A vista;-;1; R$ 151,55 ; R$ 151,55 ;34,57%; R$ 1.505,41 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 67,10 ;-3.8525403;-38.6116109
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;1617;MERCADINHO O MARCIANO;A vista  + 10 dias;-;1; R$ 165,67 ; R$ 165,67 ;41,73%; R$ 1.177,00 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 80,42 ;-3.6927925;-39.6015367
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;220 - L82-MARCO-SEDE ;1631;MERCADINHO FON FONTELES;A vista  + 10 dias;-;1; R$ 131,97 ; R$ 131,97 ;48,36%; R$ 1.452,20 ;MÍNIMO (R$ 130 À R$ 150); R$ 72,49 ;-3.1215709;-40.1533769
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;221 - L82-MARCO-AUTO SERVICO;1641;SUPERMERCADO RIOS;30 dias Boleto;-;3; R$ 10.778,08 ; R$ 3.592,69 ;24,89%; R$ 53.930,85 ;MÁXIMO (ACIMA DE R$ 200; R$ 3.293,59 ;-3.122141;-40.149564
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;1644;MERCADINHO WILSON;A vista  + 10 dias;-;1; R$ 208,84 ; R$ 208,84 ;20,93%; R$ 871,17 ;MÁXIMO (ACIMA DE R$ 200; R$ 53,77 ;-3.1808859;-39.3734641
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;1655;MERCEARIA JOAO BOSCO;A vista  + 10 dias;-;1; R$ 201,77 ; R$ 201,77 ;14,37%; R$ 463,21 ;MÁXIMO (ACIMA DE R$ 200; R$ 42,78 ;-2.9796423;-40.1272441
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;1663;MERCT ANTO S SALES;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;20,53%; R$ 2.937,78 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.08170484;-40.08399627
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA EDILENE MIRANDA;206 - L82-ACARAU-AUTO SERVICO ;1667;SUPERMERCADO PORTO SEGURO;21 dias Boleto;-;2; R$ 1.606,81 ; R$ 803,41 ;46,73%; R$ 16.078,38 ;MÁXIMO (ACIMA DE R$ 200; R$ 830,65 ;-2.8847024;-40.1189453
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;230 - L82-SANTANA ACARAU-SEDE ;1669;MERCADINHO LIBERDADE;A vista  + 10 dias;-;1; R$ 201,93 ; R$ 201,93 ;37,75%; R$ 1.367,93 ;MÁXIMO (ACIMA DE R$ 200; R$ 88,95 ;-3.461787;-40.2092323
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;1683;MERCADINHO PORTELA;A vista;-;2; R$ 358,22 ; R$ 179,11 ;40,70%; R$ 2.610,79 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 170,57 ;-3.7677424;-38.6496585
